PLAYER,POS,BODY_FAT,HAND_LENGTH_INCHES,HAND_WIDTH_INCHES,HEIGHT_WO_SHOES,HEIGHT_W_SHOES,STANDING_REACH,WEIGHT,WINGSPAN,YEAR
Jared Sullinger,PF,0.11,9.25,9.75,6' 7.75'',6' 9'',8' 9.5'',268.2,7' 1.25'',2012
Tyshawn Taylor,PG,0.04,8.75,8.75,6' 2.75'',6' 4'',8' 1.5'',177,6' 6.25'',2012
Jordan Taylor,PG,0.06,8.25,9.5,6' 1'',6' 2'',7' 8.5'',192.8,6' 3'',2012
Jeff Taylor,SF-SG,0.04,8.25,9.75,6' 6'',6' 7.25'',8' 5.5'',212.8,6' 6.25'',2012
Marquis Teague,PG,0.06,8.25,7.75,6' 1'',6' 2'',8' 0.5'',179.8,6' 7.25'',2012
Hollis Thompson,SF,0.06,8.25,9.75,6' 6.75'',6' 8'',8' 6.5'',206,6' 9.5'',2012
Dion Waiters,SG,0.09,8.5,9.5,6' 2.5'',6' 4'',8' 2'',221,6' 7.25'',2012
Royce White,PF,0.11,9.5,11.5,6' 7'',6' 8'',8' 8.5'',260.6,7' 0'',2012
Tony Wroten,PG,0.05,8,9,6' 4.75'',6' 6'',8' 5'',203.2,6' 9'',2012
Tyler Zeller,PF-C,0.06,9,9.75,6' 11.25'',7' 0.5'',8' 8.5'',247.4,7' 0'',2012
Keith Benson,C-PF,0.06,9.5,11,6' 10'',6' 11'',9' 1.5'',217,7' 3.75'',2011
Marshon Brooks,SG,0.05,9,10.5,6' 4.25'',6' 5.25'',8' 5'',194.6,7' 1'',2011
Alec Burks,SG,0.05,9,8.25,6' 5'',6' 6'',8' 7.5'',192.6,6' 10'',2011
Jimmy Butler,SF,0.05,9,9,6' 6'',6' 7.75'',8' 5.5'',222.2,6' 7.5'',2011
Norris Cole,PG,0.05,8.5,9.5,6' 0.25'',6' 1.75'',7' 11.5'',174.4,6' 2.25'',2011
Jon Diebler,SG,0.09,8.25,8.25,6' 5.25'',6' 6.5'',8' 3'',196.6,6' 6'',2011
Michael Dunigan,PF-C,0.08,9,10.75,6' 8.5'',6' 10'',8' 11.5'',237.6,7' 3.25'',2011
LaceDarius Dunn,SG,0.06,9,10.25,6' 3'',6' 4'',8' 5'',187.8,6' 6.25'',2011
Kenneth Faried,PF,0.06,8.5,10.25,6' 6'',6' 7.5'',9' 0'',224.6,7' 0'',2011
James Fredette,PG,0.08,8,8.5,6' 0.75'',6' 2.5'',8' 0.5'',196,6' 4.5'',2011
Andrew Goudelock,PG,0.1,8.25,9.25,6' 1.25'',6' 2.75'',8' 0.5'',197.6,6' 4.25'',2011
Jordan Hamilton,SF,0.1,9,9.25,6' 6.75'',6' 8.5'',8' 8'',228.4,6' 9.5'',2011
Justin Harper,PF-SF,0.04,9,9.25,6' 8'',6' 8.75'',8' 10'',228,6' 11.75'',2011
Tobias Harris,SF-PF,0.08,8.75,9,6' 6.5'',6' 7.75'',8' 7.5'',222.8,6' 11'',2011
Tyler Honeycutt,SF,0.05,8.5,9.5,6' 6.75'',6' 8.25'',8' 9'',186.8,6' 9'',2011
Scotty Hopson,SG,0.05,8.5,10,6' 5.75'',6' 6.5'',8' 7.5'',204.6,6' 10.5'',2011
Kyrie Irving,PG,0.1,8.25,9.25,6' 1.75'',6' 3.5'',8' 3'',191,6' 4'',2011
Rick Jackson,PF,0.08,8.75,9.5,6' 8.25'',6' 9.25'',8' 10.5'',241.8,7' 2'',2011
Charles Jenkins,PG-SG,0.04,8.5,9,6' 1.5'',6' 3.25'',8' 0.5'',216.4,6' 7.5'',2011
JaJuan Johnson,PF,0.08,9,10,6' 9'',6' 10'',8' 11.5'',219.8,7' 2'',2011
Cory Joseph,PG,0.1,8.5,10.5,6' 2'',6' 3.25'',8' 3'',186.2,6' 5.5'',2011
Enes Kanter,PF-C,0.06,9.5,10.75,6' 9.75'',6' 11.25'',9' 1.5'',259.2,7' 1.5'',2011
Brandon Knight,PG,0.04,8.25,9.5,6' 1.5'',6' 3.25'',8' 2.5'',176.8,6' 6.75'',2011
Malcolm Lee,SG,0.06,8.5,9.5,6' 4'',6' 5.5'',8' 5.5'',198.2,6' 9.75'',2011
Kawhi Leonard,SF,0.05,9.75,11.25,6' 6'',6' 7'',8' 10'',227.4,7' 3'',2011
Travis Leslie,SG,0.08,8.75,9.25,6' 3'',6' 4.25'',8' 7'',205,6' 10.5'',2011
Jon Leuer,PF,0.05,8.75,9.75,6' 10'',6' 11.5'',8' 9.5'',223.2,7' 0'',2011
DeAndre Liggins,SF-SG,0.05,8.75,10,6' 5'',6' 6.25'',8' 7.5'',202.2,6' 11'',2011
David Lighty,SG,0.07,9,10,6' 4.75'',6' 6.5'',8' 5'',216.2,6' 8'',2011
Shelvin Mack,PG,0.07,8.25,9.25,6' 1'',6' 2.5'',8' 0.5'',209,6' 7.5'',2011
Demetri McCamey,PG,0.06,8.5,9,6' 1.75'',6' 3.25'',8' 3.5'',204,6' 6.25'',2011
E'Twaun Moore,SG,0.08,9,10,6' 2.5'',6' 4'',8' 3.5'',191.4,6' 9.5'',2011
Marcus Morris,PF-SF,0.08,8.25,8.5,6' 7'',6' 8.75'',8' 9.5'',229.6,6' 10'',2011
Markieff Morris,PF,0.1,8.5,8.25,6' 7.75'',6' 9.25'',8' 10.5'',240.8,6' 10.75'',2011
Darius Morris,PG-SG,0.05,8.75,10,6' 3.25'',6' 5.25'',8' 6'',190,6' 7.5'',2011
Chandler Parsons,SF,0.07,8.25,10,6' 8.75'',6' 9.75'',8' 8.5'',221.2,6' 9.5'',2011
Jereme Richmond,SF,0.06,8.75,9.5,6' 6'',6' 7.25'',8' 10.5'',207.2,6' 10.25'',2011
Josh Selby,SG-PG,0.08,8.5,9,6' 1.75'',6' 3'',8' 2'',194.6,6' 5.25'',2011
Iman Shumpert,PG-SG,0.07,9,9,6' 4.25'',6' 5.5'',8' 3.5'',221.8,6' 9.5'',2011
Kyle Singler,SF,0.1,8.25,8.75,6' 7.5'',6' 8.5'',8' 10'',228,6' 10.1'',2011
Chris Singleton,SF,0.07,9.25,10,6' 7.75'',6' 9'',8' 7.5'',230.2,7' 1'',2011
Jamie Skeen,PF,0.1,8.5,8.5,6' 6.5'',6' 8'',8' 10.5'',241.6,7' 1.25'',2011
Nolan Smith,PG,0.06,8.5,9.25,6' 1.5'',6' 3.5'',8' 3'',187.6,6' 5.5'',2011
Gregory Smith,PF-C,0.07,9.75,12,6' 8'',6' 9.25'',8' 10.5'',252.8,7' 2.5'',2011
Malcolm Thomas,PF,0.06,9.5,10.5,6' 7.5'',6' 8.75'',8' 11.5'',223,7' 0.5'',2011
Isaiah Thomas,PG,0.07,8.25,9,5' 8.75'',5' 10.25'',7' 7.5'',186,6' 1.75'',2011
